id,code,name,district_id,id,name,code,region_divisions_id,id,name,code
226,MMR012007,Pauktaw,60,60,Sittwe,MMR012D001,11,11,Rakhine,RKE
227,MMR012008,Rathedaung,60,60,Sittwe,MMR012D001,11,11,Rakhine,RKE
228,MMR012003,Mrauk-U,42,42,Mrauk-U,MMR012D005,11,11,Rakhine,RKE
229,MMR012004,Kyauktaw,42,42,Mrauk-U,MMR012D005,11,11,Rakhine,RKE
230,MMR012005,Minbya,42,42,Mrauk-U,MMR012D005,11,11,Rakhine,RKE
231,MMR012006,Myebon,42,42,Mrauk-U,MMR012D005,11,11,Rakhine,RKE
232,MMR012009,Maungdaw,32,32,Maungdaw,MMR012D002,11,11,Rakhine,RKE
233,MMR012010,Buthidaung,32,32,Maungdaw,MMR012D002,11,11,Rakhine,RKE
234,MMR012009702,Taungpyoletwea,32,32,Maungdaw,MMR012D002,11,11,Rakhine,RKE
235,MMR012011,Kyaukpyu,20,20,Kyaukpyu,MMR012D003,11,11,Rakhine,RKE
236,MMR012012,Munaung,20,20,Kyaukpyu,MMR012D003,11,11,Rakhine,RKE
237,MMR012013,Ramree,20,20,Kyaukpyu,MMR012D003,11,11,Rakhine,RKE
238,MMR012014,Ann,20,20,Kyaukpyu,MMR012D003,11,11,Rakhine,RKE
239,MMR012015,Thandwe,65,65,Thandwe,MMR012D004,11,11,Rakhine,RKE
240,MMR012016,Toungup,65,65,Thandwe,MMR012D004,11,11,Rakhine,RKE
241,MMR012017,Gwa,65,65,Thandwe,MMR012D004,11,11,Rakhine,RKE
242,MMR012016702,"Ma-Ei ",65,65,Thandwe,MMR012D004,11,11,Rakhine,RKE
243,MMR012017702,Kyeintali,65,65,Thandwe,MMR012D004,11,11,Rakhine,RKE
244,MMR013001,Insein,71,71,"Yangon (North)",MMR013D001,15,15,Yangon,YGN
245,MMR013002,Mingaladon,71,71,"Yangon (North)",MMR013D001,15,15,Yangon,YGN
246,MMR013003,Hmawbi,71,71,"Yangon (North)",MMR013D001,15,15,Yangon,YGN
247,MMR013004,Hlegu,71,71,"Yangon (North)",MMR013D001,15,15,Yangon,YGN
248,MMR013005,Taikkyi,71,71,"Yangon (North)",MMR013D001,15,15,Yangon,YGN
249,MMR013006,Htantabin,71,71,"Yangon (North)",MMR013D001,15,15,Yangon,YGN
250,MMR013007,Shwepyithar,71,71,"Yangon (North)",MMR013D001,15,15,Yangon,YGN
251,MMR013008,Hlaingtharya,71,71,"Yangon (North)",MMR013D001,15,15,Yangon,YGN
252,MMR013009,Thingangyun,70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
253,MMR013010,Yankin,70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
254,MMR013011,"South Okkalapa",70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
255,MMR013012,"North Okkalapa",70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
256,MMR013013,Thaketa,70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
257,MMR013014,Dawbon,70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
258,MMR013015,Tamwe,70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
259,MMR013016,Pazundaung,70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
260,MMR013017,Botahtaung,70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
261,MMR013018,"Dagon Myothit (South)",70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
262,MMR013019,"Dagon Myothit (North)",70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
263,MMR013020,"Dagon Myothit (East)",70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
264,MMR013021,"Dagon Myothit (Seikkan)",70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
265,MMR013022,Mingalartaungnyunt,70,70,"Yangon (East)",MMR013D002,15,15,Yangon,YGN
266,MMR013023,Thanlyin,72,72,"Yangon (South)",MMR013D003,15,15,Yangon,YGN
267,MMR013024,Kyauktan,72,72,"Yangon (South)",MMR013D003,15,15,Yangon,YGN
268,MMR013025,Thongwa,72,72,"Yangon (South)",MMR013D003,15,15,Yangon,YGN
269,MMR013026,Kayan,72,72,"Yangon (South)",MMR013D003,15,15,Yangon,YGN
270,MMR013027,Twantay,72,72,"Yangon (South)",MMR013D003,15,15,Yangon,YGN
271,MMR013028,Kawhmu,72,72,"Yangon (South)",MMR013D003,15,15,Yangon,YGN
272,MMR013029,Kungyangon,72,72,"Yangon (South)",MMR013D003,15,15,Yangon,YGN
273,MMR013030,Dala,72,72,"Yangon (South)",MMR013D003,15,15,Yangon,YGN
274,MMR013031,Seikgyikanaungto,72,72,"Yangon (South)",MMR013D003,15,15,Yangon,YGN
